root,blocks_audited,reached_state_one_endpoint,maximum_queue,terminal_block,witness_start_block,witness_block_count,witness_length,witness_claim_holes,witness_terminal_valuation,witness_absorption_deficit
1,1,True,0,-1,-1,0,0,0,0,0
3,2,True,0,-1,-1,0,0,0,0,0
5,2,True,0,-1,-1,0,0,0,0,0
7,4,True,1,0,0,1,3,1,1,1
9,5,True,1,1,1,1,3,1,1,1
11,4,True,0,-1,-1,0,0,0,0,0
13,3,True,0,-1,-1,0,0,0,0,0
15,3,True,0,-1,-1,0,0,0,0,0
17,4,True,0,-1,-1,0,0,0,0,0
19,5,True,0,-1,-1,0,0,0,0,0
21,2,True,0,-1,-1,0,0,0,0,0
23,3,True,0,-1,-1,0,0,0,0,0
25,6,True,0,-1,-1,0,0,0,0,0
27,18,True,5,9,1,9,27,11,11,5
29,5,True,0,-1,-1,0,0,0,0,0
31,17,True,5,8,0,9,27,11,11,5
33,7,True,0,-1,-1,0,0,0,0,0
35,3,True,0,-1,-1,0,0,0,0,0
37,5,True,1,1,1,1,3,1,1,1
39,7,True,1,0,0,1,3,1,1,1
41,18,True,5,9,1,9,27,11,11,5
43,7,True,1,3,3,1,3,1,1,1
45,5,True,0,-1,-1,0,0,0,0,0
47,17,True,4,8,0,9,26,11,11,4
49,6,True,1,2,2,1,3,1,1,1
51,6,True,0,-1,-1,0,0,0,0,0
53,3,True,0,-1,-1,0,0,0,0,0
55,18,True,4,9,1,9,26,11,11,4
57,8,True,1,4,4,1,3,1,1,1
59,7,True,1,0,0,1,2,0,1,1
61,4,True,0,-1,-1,0,0,0,0,0
63,16,True,4,7,0,8,27,11,12,4
65,7,True,1,3,3,1,3,1,1,1
67,6,True,0,-1,-1,0,0,0,0,0
69,4,True,0,-1,-1,0,0,0,0,0
71,17,True,3,8,3,6,19,8,8,3
73,19,True,4,10,2,9,26,11,11,4
75,3,True,0,-1,-1,0,0,0,0,0
77,6,True,0,-1,-1,0,0,0,0,0
79,7,True,0,-1,-1,0,0,0,0,0
81,5,True,0,-1,-1,0,0,0,0,0
83,18,True,4,9,1,9,26,11,11,4
85,2,True,0,-1,-1,0,0,0,0,0
87,6,True,1,2,2,1,3,1,1,1
89,7,True,0,-1,-1,0,0,0,0,0
91,15,True,3,6,1,6,19,8,8,3
93,4,True,0,-1,-1,0,0,0,0,0
95,16,True,3,7,2,6,19,8,8,3
97,20,True,4,11,3,9,26,11,11,4
99,5,True,1,1,1,1,3,1,1,1
101,6,True,0,-1,-1,0,0,0,0,0
103,14,True,3,5,0,6,19,8,8,3
105,8,True,0,-1,-1,0,0,0,0,0
107,17,True,3,8,3,6,19,8,8,3
109,19,True,5,10,2,9,27,11,11,5
111,11,True,3,2,0,3,12,5,4,3
113,3,True,0,-1,-1,0,0,0,0,0
115,8,True,1,4,4,1,3,1,1,1
117,5,True,0,-1,-1,0,0,0,0,0
119,7,True,0,-1,-1,0,0,0,0,0
121,16,True,3,7,2,6,19,8,8,3
123,10,True,1,0,0,1,2,0,1,1
125,18,True,4,9,1,9,26,11,11,4
127,9,True,4,0,0,1,7,2,1,4
129,21,True,4,12,4,9,26,11,11,4
131,6,True,1,2,2,1,3,1,1,1
133,7,True,0,-1,-1,0,0,0,0,0
135,9,True,1,5,5,1,3,1,1,1
137,15,True,3,6,1,6,19,8,8,3
139,9,True,1,2,2,1,2,0,1,1
141,4,True,0,-1,-1,0,0,0,0,0
143,16,True,3,7,2,6,19,8,8,3
145,20,True,5,11,3,9,27,11,11,5
147,19,True,4,10,2,9,26,11,11,4
149,5,True,1,1,1,1,3,1,1,1
151,2,True,0,-1,-1,0,0,0,0,0
153,9,True,1,5,5,1,3,1,1,1
155,14,True,2,5,3,3,11,5,4,2
157,8,True,1,1,1,1,2,0,1,1
159,9,True,2,0,0,1,5,2,1,2
161,17,True,3,8,3,6,19,8,8,3
163,4,True,0,-1,-1,0,0,0,0,0
165,18,True,5,9,1,9,27,11,11,5
167,11,True,2,2,0,3,11,5,4,2
169,10,True,4,1,1,1,7,2,1,4
171,22,True,5,13,5,9,27,11,11,5
173,8,True,1,4,4,1,3,1,1,1
175,13,True,2,4,2,3,11,5,4,2
177,8,True,0,-1,-1,0,0,0,0,0
179,7,True,0,-1,-1,0,0,0,0,0
181,5,True,0,-1,-1,0,0,0,0,0
183,15,True,2,6,4,3,11,5,4,2
185,10,True,1,3,3,1,2,0,1,1
187,9,True,0,-1,-1,0,0,0,0,0
189,18,True,3,9,4,6,19,8,8,3
191,9,True,3,0,0,1,6,2,1,3
193,21,True,5,12,4,9,27,11,11,5
195,19,True,4,10,2,9,26,11,11,4
197,6,True,1,2,2,1,3,1,1,1
199,19,True,3,10,5,6,19,8,8,3
201,3,True,0,-1,-1,0,0,0,0,0
203,9,True,1,5,5,1,3,1,1,1
205,7,True,0,-1,-1,0,0,0,0,0
207,14,True,2,5,3,3,11,5,4,2
209,9,True,1,2,2,1,2,0,1,1
211,8,True,0,-1,-1,0,0,0,0,0
213,3,True,0,-1,-1,0,0,0,0,0
215,16,True,3,7,2,6,19,8,8,3
217,5,True,0,-1,-1,0,0,0,0,0
219,11,True,1,4,4,1,2,0,1,1
221,19,True,4,10,2,9,26,11,11,4
223,11,True,2,2,0,3,12,5,5,2
225,11,True,4,2,2,1,7,2,1,4
227,2,True,0,-1,-1,0,0,0,0,0
229,8,True,1,4,4,1,3,1,1,1
231,20,True,5,11,3,9,27,11,11,5
233,14,True,2,5,3,3,11,5,4,2
235,21,True,3,12,7,6,19,8,8,3
237,8,True,0,-1,-1,0,0,0,0,0
239,9,True,2,0,0,1,4,1,1,2
241,6,True,0,-1,-1,0,0,0,0,0
243,16,True,3,7,2,6,19,8,8,3
245,4,True,0,-1,-1,0,0,0,0,0
247,10,True,1,3,3,1,2,0,1,1
249,10,True,0,-1,-1,0,0,0,0,0
251,11,True,2,2,0,3,10,4,4,2
253,17,True,3,8,3,6,19,8,8,3
255,8,True,0,-1,-1,0,0,0,0,0
257,22,True,5,13,5,9,27,11,11,5
259,20,True,4,11,3,9,26,11,11,4
261,7,True,1,3,3,1,3,1,1,1
263,13,True,2,4,2,3,11,5,4,2
265,20,True,3,11,6,6,19,8,8,3
267,5,True,0,-1,-1,0,0,0,0,0
269,7,True,0,-1,-1,0,0,0,0,0
271,8,True,1,4,4,1,3,1,1,1
273,8,True,0,-1,-1,0,0,0,0,0
275,15,True,2,6,4,3,11,5,4,2
277,4,True,0,-1,-1,0,0,0,0,0
279,8,True,1,1,1,1,2,0,1,1
281,9,True,0,-1,-1,0,0,0,0,0
283,10,True,1,1,1,1,6,3,2,1
285,18,True,3,9,4,6,19,8,8,3
287,9,True,2,0,0,1,5,2,1,2
289,6,True,0,-1,-1,0,0,0,0,0
291,19,True,5,10,2,9,27,11,11,5
293,19,True,4,10,2,9,26,11,11,4
295,11,True,0,-1,-1,0,0,0,0,0
297,12,True,2,3,1,3,12,5,5,2
299,19,True,3,10,5,6,19,8,8,3
301,4,True,0,-1,-1,0,0,0,0,0
303,9,True,1,0,0,1,4,2,1,1
305,9,True,1,5,5,1,3,1,1,1
307,9,True,1,5,5,1,3,1,1,1
309,6,True,0,-1,-1,0,0,0,0,0
311,14,True,2,5,3,3,11,5,4,2
313,22,True,3,13,8,6,19,8,8,3
315,8,True,0,-1,-1,0,0,0,0,0
