root,blocks_audited,reached_state_one_endpoint,state_one_endpoint_block,queue_at_state_one_endpoint,maximum_queue,first_return_to_zero_after_positive,longest_positive_excursion,final_queue,max_queue_block,max_queue_block_length,max_queue_block_claims,max_queue_block_capacity,max_queue_block_drift,max_queue_endpoint_height,max_queue_claim_depth_histogram
1,1,True,0,0,0,-1,0,0,-1,0,0,0,0,0,none
3,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
5,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
7,4,True,3,0,1,1,1,0,0,3,2,1,1,2,d2:1;d3:1
9,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
11,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
13,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
15,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
17,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
19,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
21,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
23,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
25,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
27,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
29,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
31,17,True,16,0,5,13,13,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
33,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
35,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
37,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
39,7,True,6,0,1,1,1,0,0,3,2,1,1,2,d1:1;d2:1
41,18,True,17,0,5,14,13,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
43,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
45,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
47,17,True,16,0,4,12,12,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
49,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
51,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
53,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
55,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
57,8,True,7,0,1,5,1,0,4,3,2,1,1,2,d2:1;d3:1
59,7,True,6,0,1,1,1,0,0,2,2,1,1,2,d1:1;d2:1
61,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
63,16,True,15,0,4,11,11,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
65,7,True,6,0,1,4,1,0,3,3,2,1,1,2,d2:1;d3:1
67,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
69,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
71,17,True,16,0,3,12,9,0,8,6,3,2,1,3,d2:1;d4:1;d5:1
73,19,True,18,0,4,14,12,0,10,6,3,2,1,3,d2:1;d4:1;d5:1
75,3,True,2,0,0,-1,0,0,-1,0,0,0,0,0,none
77,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
79,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
81,5,True,4,0,0,-1,0,0,-1,0,0,0,0,0,none
83,18,True,17,0,4,13,12,0,9,6,3,2,1,3,d2:1;d4:1;d5:1
85,2,True,1,0,0,-1,0,0,-1,0,0,0,0,0,none
87,6,True,5,0,1,3,1,0,2,3,2,1,1,2,d2:1;d3:1
89,7,True,6,0,0,-1,0,0,-1,0,0,0,0,0,none
91,15,True,14,0,3,10,9,0,6,6,3,2,1,3,d2:1;d4:1;d5:1
93,4,True,3,0,0,-1,0,0,-1,0,0,0,0,0,none
95,16,True,15,0,3,11,9,0,7,6,3,2,1,3,d2:1;d4:1;d5:1
97,20,True,19,0,4,15,12,0,11,6,3,2,1,3,d2:1;d4:1;d5:1
99,5,True,4,0,1,2,1,0,1,3,2,1,1,2,d2:1;d3:1
101,6,True,5,0,0,-1,0,0,-1,0,0,0,0,0,none
103,14,True,13,0,3,9,9,0,5,6,3,2,1,3,d2:1;d4:1;d5:1
105,8,True,7,0,0,-1,0,0,-1,0,0,0,0,0,none
