n,steps,r_start,depth_len,sum_s,pressure_depth_count,first_pressure_j,first_pressure_depth,continuation_mass_at_first_pressure,retention_mass_at_first_pressure,l1_remainder,l2_remainder,l3_remainder,l4_remainder,l5_remainder,falling_l1,falling_l2,falling_l3,falling_l4,falling_l5
1,64,2,8,128,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
3,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
5,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
7,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
9,64,2,8,129,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
11,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
13,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
15,64,2,8,130,1,0,2,2,3,1,0,0,0,0,1,1,0,0,0
17,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
19,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
21,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
23,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
25,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
27,64,2,8,116,1,0,2,14,24,14,7,3,1,0,9,7,4,2,1
29,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
31,64,2,8,117,1,0,2,14,23,13,6,2,1,0,9,7,4,1,1
33,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
35,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
37,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
39,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,4,0,0,0,0
41,64,2,8,117,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
43,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
45,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
47,64,2,8,118,1,0,2,13,22,12,5,2,1,0,9,7,3,1,1
49,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
51,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
53,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
55,64,2,8,117,1,0,2,14,24,13,6,2,1,0,10,7,4,1,1
57,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
59,64,2,8,130,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
61,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
63,64,2,8,118,2,0,2,15,24,14,7,3,1,0,9,7,4,2,1
65,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
67,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
69,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
71,64,2,8,119,1,0,2,12,21,11,5,2,1,0,9,6,3,1,1
73,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
75,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
77,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
79,64,2,8,130,0,-1,-1,0,0,1,0,0,0,0,3,1,0,0,0
81,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
83,64,2,8,118,1,0,2,13,23,13,6,2,1,0,9,7,4,1,1
85,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
87,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,2,1,0,0,0
89,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
91,64,2,8,121,1,0,2,11,19,11,5,2,1,0,7,6,3,1,1
93,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
95,64,2,8,119,1,0,2,14,23,13,6,2,1,0,9,7,4,1,1
97,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
99,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
101,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
103,64,2,8,122,1,0,2,11,18,10,5,2,1,0,7,5,3,1,1
105,64,2,8,130,0,-1,-1,0,0,2,1,0,0,0,3,1,1,0,0
107,64,2,8,120,1,0,2,11,20,11,5,2,1,0,8,6,3,1,1
109,64,2,8,118,1,0,2,14,23,14,7,3,1,0,9,7,4,2,1
111,64,2,8,125,2,0,2,9,14,8,4,2,1,0,5,4,2,1,1
113,64,2,8,134,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
115,64,2,8,131,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
117,64,2,8,133,0,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0
119,64,2,8,131,0,-1,-1,0,0,0,0,0,0,0,3,0,0,0,0
121,64,2,8,121,1,0,2,11,19,11,5,2,1,0,8,6,3,1,1
123,64,2,8,129,0,-1,-1,0,0,0,0,0,0,0,5,0,0,0,0
125,64,2,8,119,1,0,2,13,22,13,6,2,1,0,9,7,4,1,1
127,64,2,8,129,4,0,2,5,7,4,3,2,1,0,2,1,1,1,1
129,64,2,8,117,1,0,2,14,24,14,6,2,1,0,10,8,4,1,1
131,64,2,8,132,0,-1,-1,0,0,1,0,0,0,0,1,1,0,0,0
133,64,2,8,132,0,-1,-1,0,0,0,0,0,0,0,2,0,0,0,0
