n,steps,r_start,depth_len,selected_depths,selected_count,max_pairwise_overlap,min_pairwise_overlap,total_pair_count,disjoint_pair_count,has_disjoint_pair,first_pair,first_pair_overlap,first_pair_left_mass,first_pair_right_mass
1,64,2,8,,0,0,0,0,0,False,,0,0,0
3,64,2,8,,0,0,0,0,0,False,,0,0,0
5,64,2,8,,0,0,0,0,0,False,,0,0,0
7,64,2,8,,0,0,0,0,0,False,,0,0,0
9,64,2,8,,0,0,0,0,0,False,,0,0,0
11,64,2,8,,0,0,0,0,0,False,,0,0,0
13,64,2,8,,0,0,0,0,0,False,,0,0,0
15,64,2,8,2,1,0,0,0,0,False,,0,0,0
17,64,2,8,,0,0,0,0,0,False,,0,0,0
19,64,2,8,,0,0,0,0,0,False,,0,0,0
21,64,2,8,,0,0,0,0,0,False,,0,0,0
23,64,2,8,,0,0,0,0,0,False,,0,0,0
25,64,2,8,,0,0,0,0,0,False,,0,0,0
27,64,2,8,2,1,0,0,0,0,False,,0,0,0
29,64,2,8,,0,0,0,0,0,False,,0,0,0
31,64,2,8,2,1,0,0,0,0,False,,0,0,0
33,64,2,8,,0,0,0,0,0,False,,0,0,0
35,64,2,8,,0,0,0,0,0,False,,0,0,0
37,64,2,8,,0,0,0,0,0,False,,0,0,0
39,64,2,8,,0,0,0,0,0,False,,0,0,0
41,64,2,8,2,1,0,0,0,0,False,,0,0,0
43,64,2,8,,0,0,0,0,0,False,,0,0,0
45,64,2,8,,0,0,0,0,0,False,,0,0,0
47,64,2,8,2,1,0,0,0,0,False,,0,0,0
49,64,2,8,,0,0,0,0,0,False,,0,0,0
51,64,2,8,,0,0,0,0,0,False,,0,0,0
53,64,2,8,,0,0,0,0,0,False,,0,0,0
55,64,2,8,2,1,0,0,0,0,False,,0,0,0
57,64,2,8,,0,0,0,0,0,False,,0,0,0
59,64,2,8,,0,0,0,0,0,False,,0,0,0
61,64,2,8,,0,0,0,0,0,False,,0,0,0
63,64,2,8,2;3,2,8,8,1,0,False,2:3,8,15,8
