big,body,residual,is_cube1,is_cube2,profile,has_type_i_nontrivial,type_i_repr,cube2_repr
729,0,729,1,1,ObservedMinOne-candidate,1,3^6;9^3;27^2,0^3+9^3
729,1,728,0,1,ObservedMinTwo-candidate,0,,6^3+8^3
729,2,727,0,0,other,0,,
729,3,726,0,0,other,0,,
729,4,725,0,0,other,0,,
729,5,724,0,0,other,0,,
729,6,723,0,0,other,0,,
729,7,722,0,0,other,0,,
729,8,721,0,0,other,0,,
729,9,720,0,0,other,0,,
729,10,719,0,0,other,0,,
729,11,718,0,0,other,0,,
729,12,717,0,0,other,0,,
729,13,716,0,0,other,0,,
729,14,715,0,0,other,0,,
729,15,714,0,0,other,0,,
729,16,713,0,0,other,0,,
729,17,712,0,0,other,0,,
729,18,711,0,0,other,0,,
729,19,710,0,0,other,0,,
729,20,709,0,0,other,0,,
729,21,708,0,0,other,0,,
729,22,707,0,0,other,0,,
729,23,706,0,0,other,0,,
729,24,705,0,0,other,0,,
729,25,704,0,0,other,0,,
729,26,703,0,0,other,0,,
729,27,702,0,0,other,0,,
729,28,701,0,0,other,0,,
729,29,700,0,0,other,0,,
729,30,699,0,0,other,0,,
729,31,698,0,0,other,0,,
729,32,697,0,0,other,0,,
729,33,696,0,0,other,0,,
729,34,695,0,0,other,0,,
729,35,694,0,0,other,0,,
729,36,693,0,0,other,0,,
729,37,692,0,0,other,0,,
729,38,691,0,0,other,0,,
729,39,690,0,0,other,0,,
729,40,689,0,0,other,0,,
729,41,688,0,0,other,0,,
729,42,687,0,0,other,0,,
729,43,686,0,1,ObservedMinTwo-candidate,0,,7^3+7^3
729,44,685,0,0,other,0,,
729,45,684,0,0,other,0,,
729,46,683,0,0,other,0,,
729,47,682,0,0,other,0,,
729,48,681,0,0,other,0,,
729,49,680,0,0,other,0,,
729,50,679,0,0,other,0,,
729,51,678,0,0,other,0,,
729,52,677,0,0,other,0,,
729,53,676,0,0,other,1,26^2,
729,54,675,0,0,other,0,,
729,55,674,0,0,other,0,,
729,56,673,0,0,other,0,,
729,57,672,0,0,other,0,,
729,58,671,0,0,other,0,,
729,59,670,0,0,other,0,,
729,60,669,0,0,other,0,,
729,61,668,0,0,other,0,,
729,62,667,0,0,other,0,,
729,63,666,0,0,other,0,,
729,64,665,0,0,other,0,,
729,65,664,0,0,other,0,,
729,66,663,0,0,other,0,,
729,67,662,0,0,other,0,,
729,68,661,0,0,other,0,,
729,69,660,0,0,other,0,,
729,70,659,0,0,other,0,,
729,71,658,0,0,other,0,,
729,72,657,0,0,other,0,,
729,73,656,0,0,other,0,,
729,74,655,0,0,other,0,,
729,75,654,0,0,other,0,,
729,76,653,0,0,other,0,,
729,77,652,0,0,other,0,,
729,78,651,0,0,other,0,,
729,79,650,0,0,other,0,,
729,80,649,0,0,other,0,,
729,81,648,0,0,other,0,,
729,82,647,0,0,other,0,,
729,83,646,0,0,other,0,,
729,84,645,0,0,other,0,,
729,85,644,0,0,other,0,,
729,86,643,0,0,other,0,,
729,87,642,0,0,other,0,,
729,88,641,0,0,other,0,,
729,89,640,0,0,other,0,,
729,90,639,0,0,other,0,,
729,91,638,0,0,other,0,,
729,92,637,0,1,ObservedMinTwo-candidate,0,,5^3+8^3
729,93,636,0,0,other,0,,
729,94,635,0,0,other,0,,
729,95,634,0,0,other,0,,
729,96,633,0,0,other,0,,
729,97,632,0,0,other,0,,
729,98,631,0,0,other,0,,
729,99,630,0,0,other,0,,
729,100,629,0,0,other,0,,
729,101,628,0,0,other,0,,
729,102,627,0,0,other,0,,
729,103,626,0,0,other,0,,
729,104,625,0,0,other,1,5^4;25^2,
729,105,624,0,0,other,0,,
729,106,623,0,0,other,0,,
729,107,622,0,0,other,0,,
729,108,621,0,0,other,0,,
729,109,620,0,0,other,0,,
729,110,619,0,0,other,0,,
729,111,618,0,0,other,0,,
729,112,617,0,0,other,0,,
729,113,616,0,0,other,0,,
729,114,615,0,0,other,0,,
729,115,614,0,0,other,0,,
729,116,613,0,0,other,0,,
729,117,612,0,0,other,0,,
729,118,611,0,0,other,0,,
729,119,610,0,0,other,0,,
729,120,609,0,0,other,0,,
729,121,608,0,0,other,0,,
729,122,607,0,0,other,0,,
729,123,606,0,0,other,0,,
729,124,605,0,0,other,0,,
729,125,604,0,0,other,0,,
729,126,603,0,0,other,0,,
729,127,602,0,0,other,0,,
729,128,601,0,0,other,0,,
729,129,600,0,0,other,0,,
729,130,599,0,0,other,0,,
729,131,598,0,0,other,0,,
729,132,597,0,0,other,0,,
729,133,596,0,0,other,0,,
729,134,595,0,0,other,0,,
729,135,594,0,0,other,0,,
729,136,593,0,0,other,0,,
729,137,592,0,0,other,0,,
729,138,591,0,0,other,0,,
729,139,590,0,0,other,0,,
729,140,589,0,0,other,0,,
729,141,588,0,0,other,0,,
729,142,587,0,0,other,0,,
729,143,586,0,0,other,0,,
729,144,585,0,0,other,0,,
729,145,584,0,0,other,0,,
729,146,583,0,0,other,0,,
729,147,582,0,0,other,0,,
729,148,581,0,0,other,0,,
729,149,580,0,0,other,0,,
729,150,579,0,0,other,0,,
729,151,578,0,0,other,0,,
729,152,577,0,0,other,0,,
729,153,576,0,1,ObservedMinTwo-candidate,1,24^2,4^3+8^3
729,154,575,0,0,other,0,,
729,155,574,0,0,other,0,,
729,156,573,0,0,other,0,,
729,157,572,0,0,other,0,,
729,158,571,0,0,other,0,,
729,159,570,0,0,other,0,,
729,160,569,0,0,other,0,,
729,161,568,0,0,other,0,,
729,162,567,0,0,other,0,,
729,163,566,0,0,other,0,,
729,164,565,0,0,other,0,,
729,165,564,0,0,other,0,,
729,166,563,0,0,other,0,,
729,167,562,0,0,other,0,,
729,168,561,0,0,other,0,,
729,169,560,0,0,other,0,,
729,170,559,0,1,ObservedMinTwo-candidate,0,,6^3+7^3
729,171,558,0,0,other,0,,
729,172,557,0,0,other,0,,
