big,body,residual,profile,cube2_repr,has_type_i_nontrivial,type_i_repr
27,0,27,ObservedMinOne-candidate,0^3+3^3,1,3^3
27,11,16,ObservedMinTwo-candidate,2^3+2^3,1,2^4;4^2
27,18,9,ObservedMinTwo-candidate,1^3+2^3,1,3^2
27,19,8,ObservedMinOne-candidate,0^3+2^3,1,2^3
27,25,2,ObservedMinTwo-candidate,1^3+1^3,0,
27,26,1,ObservedMinOne-candidate,0^3+1^3,0,
27,27,0,ObservedMinOne-candidate,0^3+0^3,0,
64,0,64,ObservedMinOne-candidate,0^3+4^3,1,2^6;4^3;8^2
64,10,54,ObservedMinTwo-candidate,3^3+3^3,0,
64,29,35,ObservedMinTwo-candidate,2^3+3^3,0,
64,36,28,ObservedMinTwo-candidate,1^3+3^3,0,
64,37,27,ObservedMinOne-candidate,0^3+3^3,1,3^3
64,48,16,ObservedMinTwo-candidate,2^3+2^3,1,2^4;4^2
64,55,9,ObservedMinTwo-candidate,1^3+2^3,1,3^2
64,56,8,ObservedMinOne-candidate,0^3+2^3,1,2^3
64,62,2,ObservedMinTwo-candidate,1^3+1^3,0,
64,63,1,ObservedMinOne-candidate,0^3+1^3,0,
64,64,0,ObservedMinOne-candidate,0^3+0^3,0,
125,0,125,ObservedMinOne-candidate,0^3+5^3,1,5^3
125,34,91,ObservedMinTwo-candidate,3^3+4^3,0,
125,53,72,ObservedMinTwo-candidate,2^3+4^3,0,
125,60,65,ObservedMinTwo-candidate,1^3+4^3,0,
125,61,64,ObservedMinOne-candidate,0^3+4^3,1,2^6;4^3;8^2
125,71,54,ObservedMinTwo-candidate,3^3+3^3,0,
125,90,35,ObservedMinTwo-candidate,2^3+3^3,0,
125,97,28,ObservedMinTwo-candidate,1^3+3^3,0,
125,98,27,ObservedMinOne-candidate,0^3+3^3,1,3^3
125,109,16,ObservedMinTwo-candidate,2^3+2^3,1,2^4;4^2
125,116,9,ObservedMinTwo-candidate,1^3+2^3,1,3^2
125,117,8,ObservedMinOne-candidate,0^3+2^3,1,2^3
125,123,2,ObservedMinTwo-candidate,1^3+1^3,0,
125,124,1,ObservedMinOne-candidate,0^3+1^3,0,
125,125,0,ObservedMinOne-candidate,0^3+0^3,0,
216,0,216,ObservedMinOne-candidate,0^3+6^3,1,6^3
